Start Training.
Epoch 1/50: Train Loss = 0.34381, Val Loss = 0.33366, Mean Val MSE = 0.33381, Mean Val R2 = 0.93589, Mean Val Pearson = 0.96780, Mean Expression Change Pearson = 0.94631, Mean Log2(FC) Pearson = 0.99962, Best Log2(FC) Pearson = 0.99962 at Epoch 1, Epoch Time = 0.053h
Epoch 2/50: Train Loss = 0.32925, Val Loss = 0.32935, Mean Val MSE = 0.32950, Mean Val R2 = 0.93681, Mean Val Pearson = 0.96820, Mean Expression Change Pearson = 0.94707, Mean Log2(FC) Pearson = 0.99962, Best Log2(FC) Pearson = 0.99962 at Epoch 2, Epoch Time = 0.053h
Epoch 3/50: Train Loss = 0.32544, Val Loss = 0.32748, Mean Val MSE = 0.32763, Mean Val R2 = 0.93711, Mean Val Pearson = 0.96838, Mean Expression Change Pearson = 0.94737, Mean Log2(FC) Pearson = 0.99962, Best Log2(FC) Pearson = 0.99962 at Epoch 3, Epoch Time = 0.053h
Epoch 4/50: Train Loss = 0.32336, Val Loss = 0.32651, Mean Val MSE = 0.32665, Mean Val R2 = 0.93734, Mean Val Pearson = 0.96852, Mean Expression Change Pearson = 0.94763, Mean Log2(FC) Pearson = 0.99962, Best Log2(FC) Pearson = 0.99962 at Epoch 3, Epoch Time = 0.053h
Epoch 5/50: Train Loss = 0.32190, Val Loss = 0.32519, Mean Val MSE = 0.32533, Mean Val R2 = 0.93755, Mean Val Pearson = 0.96864, Mean Expression Change Pearson = 0.94785, Mean Log2(FC) Pearson = 0.99962, Best Log2(FC) Pearson = 0.99962 at Epoch 3, Epoch Time = 0.053h
Epoch 6/50: Train Loss = 0.32069, Val Loss = 0.32481, Mean Val MSE = 0.32495, Mean Val R2 = 0.93761, Mean Val Pearson = 0.96869, Mean Expression Change Pearson = 0.94793, Mean Log2(FC) Pearson = 0.99963, Best Log2(FC) Pearson = 0.99963 at Epoch 6, Epoch Time = 0.053h
Epoch 7/50: Train Loss = 0.31977, Val Loss = 0.32515, Mean Val MSE = 0.32529, Mean Val R2 = 0.93756, Mean Val Pearson = 0.96865, Mean Expression Change Pearson = 0.94785, Mean Log2(FC) Pearson = 0.99963, Best Log2(FC) Pearson = 0.99963 at Epoch 6, Epoch Time = 0.054h
Epoch 8/50: Train Loss = 0.31928, Val Loss = 0.32507, Mean Val MSE = 0.32521, Mean Val R2 = 0.93752, Mean Val Pearson = 0.96868, Mean Expression Change Pearson = 0.94788, Mean Log2(FC) Pearson = 0.99963, Best Log2(FC) Pearson = 0.99963 at Epoch 6, Epoch Time = 0.054h
Epoch 9/50: Train Loss = 0.31850, Val Loss = 0.32391, Mean Val MSE = 0.32405, Mean Val R2 = 0.93779, Mean Val Pearson = 0.96876, Mean Expression Change Pearson = 0.94802, Mean Log2(FC) Pearson = 0.99963, Best Log2(FC) Pearson = 0.99963 at Epoch 9, Epoch Time = 0.054h
Epoch 10/50: Train Loss = 0.31816, Val Loss = 0.32342, Mean Val MSE = 0.32355, Mean Val R2 = 0.93787, Mean Val Pearson = 0.96882, Mean Expression Change Pearson = 0.94819, Mean Log2(FC) Pearson = 0.99963, Best Log2(FC) Pearson = 0.99963 at Epoch 9, Epoch Time = 0.054h
Epoch 11/50: Train Loss = 0.31743, Val Loss = 0.32385, Mean Val MSE = 0.32398, Mean Val R2 = 0.93778, Mean Val Pearson = 0.96879, Mean Expression Change Pearson = 0.94809, Mean Log2(FC) Pearson = 0.99963, Best Log2(FC) Pearson = 0.99963 at Epoch 9, Epoch Time = 0.053h
